trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
186,False,"{'a': 0.02, 'e': 0.9913975000000002}",20,0,-47.61461206007331,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
187,False,"{'a': 0.02, 'e': 0.9913045000000001}",25,0,-164.95997331409296,"{0: 10, 1: 1, 2: 13, 3: 0, 4: 1}",0
188,False,"{'a': 0.02, 'e': 0.9912110000000002}",20,0,-97.80353128359425,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
189,False,"{'a': 0.02, 'e': 0.9911170000000001}",20,0,-119.99275478192492,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
190,False,"{'a': 0.02, 'e': 0.9910225000000001}",20,0,-42.808503604660594,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
191,False,"{'a': 0.02, 'e': 0.9909275000000002}",25,13,-69.49203119579614,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 1}",1
192,False,"{'a': 0.02, 'e': 0.9908320000000002}",30,0,-185.8554864383272,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
193,False,"{'a': 0.02, 'e': 0.9907360000000002}",25,0,-227.24689321485045,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 5}",0
194,False,"{'a': 0.02, 'e': 0.9906395000000001}",25,0,-100.94437929564515,"{0: 12, 1: 6, 2: 6, 3: 1, 4: 0}",0
195,False,"{'a': 0.02, 'e': 0.9905425000000001}",20,0,-122.34520688614191,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
196,False,"{'a': 0.02, 'e': 0.9904450000000001}",20,0,-139.9821328509304,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
197,False,"{'a': 0.02, 'e': 0.9903470000000001}",20,4,-58.897883119094644,"{0: 9, 1: 4, 2: 1, 3: 2, 4: 0}",1
198,False,"{'a': 0.02, 'e': 0.9902485000000001}",20,0,-195.1513533117773,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
199,False,"{'a': 0.02, 'e': 0.9901495000000001}",20,0,-94.39232825155702,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
200,False,"{'a': 0.02, 'e': 0.9900500000000001}",35,0,-134.4113960270659,"{0: 19, 1: 6, 2: 9, 3: 0, 4: 1}",0
201,False,"{'a': 0.02, 'e': 0.9899500000000001}",20,0,-119.4987577135608,"{0: 8, 1: 4, 2: 5, 3: 3, 4: 0}",0
202,False,"{'a': 0.02, 'e': 0.9898495000000002}",20,0,-152.5965270364269,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
203,False,"{'a': 0.02, 'e': 0.9897485000000001}",30,0,-233.88241705032755,"{0: 14, 1: 5, 2: 6, 3: 2, 4: 3}",0
204,False,"{'a': 0.02, 'e': 0.9896470000000002}",25,0,-124.40982807000312,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
205,False,"{'a': 0.02, 'e': 0.9895450000000001}",30,14,-120.01201774648725,"{0: 6, 1: 2, 2: 6, 3: 1, 4: 1}",1
206,False,"{'a': 0.02, 'e': 0.9894425000000001}",20,0,-78.59899144717603,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
207,False,"{'a': 0.02, 'e': 0.9893395000000001}",25,0,-198.25572960152635,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
208,False,"{'a': 0.02, 'e': 0.9892360000000001}",35,0,-247.20038963632058,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 5}",0
209,False,"{'a': 0.02, 'e': 0.9891320000000001}",25,0,-30.22042967106057,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
210,False,"{'a': 0.02, 'e': 0.9890275000000002}",25,0,-59.65359633615386,"{0: 14, 1: 7, 2: 4, 3: 0, 4: 0}",0
211,False,"{'a': 0.02, 'e': 0.9889225000000001}",25,0,-87.91261410555188,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
212,False,"{'a': 0.02, 'e': 0.9888170000000002}",20,0,-152.7411559181347,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
213,False,"{'a': 0.02, 'e': 0.9887110000000001}",30,0,-178.34022740899735,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
214,False,"{'a': 0.02, 'e': 0.9886045000000001}",20,0,-85.98760031586606,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
215,False,"{'a': 0.02, 'e': 0.9884975000000001}",25,0,-155.99503548370245,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
216,False,"{'a': 0.02, 'e': 0.9883900000000001}",20,0,-13.16957629663649,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
217,False,"{'a': 0.02, 'e': 0.9882820000000001}",25,0,-177.83584184762813,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
218,False,"{'a': 0.02, 'e': 0.9881735000000001}",25,0,-73.01479183961717,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
219,False,"{'a': 0.02, 'e': 0.9880645000000001}",20,0,-162.73401586585518,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
220,False,"{'a': 0.02, 'e': 0.9879550000000001}",25,0,-100.73385816410455,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
221,False,"{'a': 0.02, 'e': 0.9878450000000001}",30,0,-99.91451563547606,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
222,False,"{'a': 0.02, 'e': 0.9877345000000001}",20,0,-95.00191462338952,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
223,False,"{'a': 0.02, 'e': 0.9876235000000001}",20,0,-197.72712951939272,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
224,False,"{'a': 0.02, 'e': 0.9875120000000001}",20,0,-61.24014488996525,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
225,False,"{'a': 0.02, 'e': 0.9874}",30,0,-146.1757626451686,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
226,False,"{'a': 0.02, 'e': 0.9872875000000001}",25,0,-157.47737769875837,"{0: 14, 1: 1, 2: 5, 3: 4, 4: 1}",0
227,False,"{'a': 0.02, 'e': 0.9871745000000001}",20,0,-131.2627022914258,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
228,False,"{'a': 0.02, 'e': 0.9870610000000001}",20,0,-83.20793521406395,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
229,False,"{'a': 0.02, 'e': 0.9869470000000001}",20,0,-158.70695364301383,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
230,False,"{'a': 0.02, 'e': 0.9868325000000001}",25,7,-31.54027278400344,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
231,False,"{'a': 0.02, 'e': 0.9867175000000001}",35,0,-158.16729568242812,"{0: 25, 1: 1, 2: 6, 3: 0, 4: 3}",0
232,False,"{'a': 0.02, 'e': 0.9866020000000001}",35,0,-220.79094504536894,"{0: 19, 1: 2, 2: 9, 3: 3, 4: 2}",0
233,False,"{'a': 0.02, 'e': 0.9864860000000001}",25,0,-49.46668188302185,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
234,False,"{'a': 0.02, 'e': 0.9863695000000001}",20,0,-98.41754025908685,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
235,False,"{'a': 0.02, 'e': 0.9862525000000001}",25,0,-107.53458229876725,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
236,False,"{'a': 0.02, 'e': 0.9861350000000001}",25,0,-135.1375235274166,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
237,False,"{'a': 0.02, 'e': 0.9860170000000001}",20,0,-62.12780267953196,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
238,False,"{'a': 0.02, 'e': 0.9858985000000001}",25,7,-132.72369262125846,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 2}",1
239,False,"{'a': 0.02, 'e': 0.9857795000000001}",20,0,-152.64245634836897,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
240,False,"{'a': 0.02, 'e': 0.9856600000000001}",25,0,-85.20215250794202,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
241,False,"{'a': 0.02, 'e': 0.9855400000000001}",25,0,-124.85036063318522,"{0: 10, 1: 9, 2: 5, 3: 0, 4: 1}",0
242,False,"{'a': 0.02, 'e': 0.9854195000000001}",20,0,-139.8597438450456,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
243,False,"{'a': 0.02, 'e': 0.9852985000000001}",20,0,-163.90343597112653,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
244,False,"{'a': 0.02, 'e': 0.9851770000000001}",20,5,-65.36790933934725,"{0: 7, 1: 3, 2: 4, 3: 1, 4: 0}",1
245,False,"{'a': 0.02, 'e': 0.9850550000000001}",20,0,-139.95481628962105,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
246,False,"{'a': 0.02, 'e': 0.9849325000000001}",20,0,-29.55444168067463,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
247,False,"{'a': 0.02, 'e': 0.9848095000000001}",30,0,-65.55995346011555,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
248,False,"{'a': 0.02, 'e': 0.9846860000000001}",25,0,-81.2713603776503,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
249,False,"{'a': 0.02, 'e': 0.984562}",20,0,-273.4808956832197,"{0: 9, 1: 0, 2: 4, 3: 2, 4: 5}",0
250,False,"{'a': 0.02, 'e': 0.9844375000000001}",20,0,-142.96305737633608,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
251,False,"{'a': 0.02, 'e': 0.9843125}",20,0,-32.75051735286054,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
252,False,"{'a': 0.02, 'e': 0.984187}",20,0,-107.33133854680914,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
253,False,"{'a': 0.02, 'e': 0.9840610000000001}",25,0,-94.03857767972087,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
254,False,"{'a': 0.02, 'e': 0.9839345}",25,0,-98.56050508462002,"{0: 15, 1: 4, 2: 3, 3: 3, 4: 0}",0
255,False,"{'a': 0.02, 'e': 0.9838075000000001}",25,0,-108.38058426953616,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
256,False,"{'a': 0.02, 'e': 0.9836800000000001}",25,0,-174.4756276341016,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
257,False,"{'a': 0.02, 'e': 0.9835520000000001}",20,0,-183.42690776016036,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
258,False,"{'a': 0.02, 'e': 0.9834235000000001}",25,9,-128.16286657949328,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 2}",1
259,False,"{'a': 0.02, 'e': 0.9832945000000001}",30,0,-186.36553426818023,"{0: 15, 1: 3, 2: 7, 3: 4, 4: 1}",0
260,False,"{'a': 0.02, 'e': 0.9831650000000001}",25,0,-103.46681178545165,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
261,False,"{'a': 0.02, 'e': 0.9830350000000001}",30,0,-180.30020954606695,"{0: 16, 1: 6, 2: 5, 3: 0, 4: 3}",0
262,False,"{'a': 0.02, 'e': 0.9829045000000001}",20,0,-67.90252140651455,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
263,False,"{'a': 0.02, 'e': 0.9827735000000001}",25,0,-58.42374456888737,"{0: 19, 1: 2, 2: 1, 3: 3, 4: 0}",0
264,False,"{'a': 0.02, 'e': 0.9826420000000001}",20,0,-171.08595670379597,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
265,False,"{'a': 0.02, 'e': 0.9825100000000001}",25,0,-40.69954295059651,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
266,False,"{'a': 0.02, 'e': 0.9823775000000001}",25,0,-126.07971527385493,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
267,False,"{'a': 0.02, 'e': 0.9822445000000001}",25,0,-178.49282542938974,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
268,False,"{'a': 0.02, 'e': 0.9821110000000001}",25,0,-135.18924108882223,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
269,False,"{'a': 0.02, 'e': 0.9819770000000001}",35,21,-57.940907347222485,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
270,False,"{'a': 0.02, 'e': 0.9818425000000001}",30,0,-324.93742240641194,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 6}",0
271,False,"{'a': 0.02, 'e': 0.9817075000000001}",20,0,-57.7600767879263,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
272,False,"{'a': 0.02, 'e': 0.9815720000000001}",25,0,-115.60453474423507,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
273,False,"{'a': 0.02, 'e': 0.9814360000000001}",25,0,-187.03459839098667,"{0: 8, 1: 7, 2: 6, 3: 3, 4: 1}",0
274,False,"{'a': 0.02, 'e': 0.9812995000000001}",20,0,-78.75929031185011,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
275,False,"{'a': 0.02, 'e': 0.9811625}",20,0,-14.839471478074481,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
276,False,"{'a': 0.02, 'e': 0.981025}",30,0,-269.3149718601634,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 5}",0
277,False,"{'a': 0.02, 'e': 0.9808870000000001}",30,0,-133.27694797378575,"{0: 17, 1: 3, 2: 6, 3: 4, 4: 0}",0
278,False,"{'a': 0.02, 'e': 0.9807485}",25,0,-169.68181355860946,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
279,False,"{'a': 0.02, 'e': 0.9806095}",25,9,-68.53647903085708,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
280,False,"{'a': 0.02, 'e': 0.9804700000000001}",20,0,-126.36764147353753,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
281,False,"{'a': 0.02, 'e': 0.98033}",30,0,-184.24402077123042,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
282,False,"{'a': 0.02, 'e': 0.9801895}",20,0,-178.34417736633432,"{0: 7, 1: 3, 2: 7, 3: 1, 4: 2}",0
283,False,"{'a': 0.02, 'e': 0.9800485000000001}",20,0,-117.05190505399352,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
284,False,"{'a': 0.02, 'e': 0.9799070000000001}",25,10,-67.64561572833827,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",1
285,False,"{'a': 0.02, 'e': 0.9797650000000001}",25,0,-128.92016858188418,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
286,False,"{'a': 0.02, 'e': 0.9796225000000001}",20,0,-58.35891379313452,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
287,False,"{'a': 0.02, 'e': 0.9794795000000001}",20,9,-3.46109648667571,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
288,False,"{'a': 0.02, 'e': 0.9793360000000001}",20,0,-61.72694141790054,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
289,False,"{'a': 0.02, 'e': 0.9791920000000001}",30,0,-270.47677625529366,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 5}",0
290,False,"{'a': 0.02, 'e': 0.9790475000000001}",20,0,-42.981255699273596,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
291,False,"{'a': 0.02, 'e': 0.9789025000000001}",20,0,-79.47473489113177,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
292,False,"{'a': 0.02, 'e': 0.9787570000000001}",25,0,-135.13062420805167,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
293,False,"{'a': 0.02, 'e': 0.9786110000000001}",20,0,-191.59338826754146,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
294,False,"{'a': 0.02, 'e': 0.9784645000000001}",20,3,-69.37268248798483,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 1}",1
295,False,"{'a': 0.02, 'e': 0.9783175000000001}",25,0,-87.63155980779882,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
296,False,"{'a': 0.02, 'e': 0.9781700000000001}",20,0,-59.266772276152004,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
297,False,"{'a': 0.02, 'e': 0.9780220000000001}",30,0,-154.39592418244595,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
298,False,"{'a': 0.02, 'e': 0.9778735000000001}",25,0,-98.90629339080303,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
299,False,"{'a': 0.02, 'e': 0.9777245000000001}",25,0,-191.96146838823472,"{0: 13, 1: 5, 2: 2, 3: 2, 4: 3}",0
300,False,"{'a': 0.02, 'e': 0.9775750000000001}",30,0,-209.30858555375298,"{0: 15, 1: 3, 2: 9, 3: 0, 4: 3}",0
301,False,"{'a': 0.02, 'e': 0.9774250000000001}",20,13,0.7203654984851036,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
302,False,"{'a': 0.02, 'e': 0.9772745}",25,0,-87.24281489531374,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
303,False,"{'a': 0.02, 'e': 0.9771235}",30,0,-114.00986685018462,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
304,False,"{'a': 0.02, 'e': 0.9769720000000001}",25,0,-126.46562560922261,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
305,False,"{'a': 0.02, 'e': 0.97682}",20,3,-87.4204956240357,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
306,False,"{'a': 0.02, 'e': 0.9766675}",25,0,-93.59645267424231,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
307,False,"{'a': 0.02, 'e': 0.9765145000000001}",20,0,-101.90898865598865,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
308,False,"{'a': 0.02, 'e': 0.976361}",25,0,-119.08029494940621,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
309,False,"{'a': 0.02, 'e': 0.976207}",25,0,-69.5874129673648,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
310,False,"{'a': 0.02, 'e': 0.9760525000000001}",30,0,-182.33900034060272,"{0: 14, 1: 2, 2: 11, 3: 2, 4: 1}",0
311,False,"{'a': 0.02, 'e': 0.9758975000000001}",20,0,-65.84183627248088,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
312,False,"{'a': 0.02, 'e': 0.9757420000000001}",20,0,-184.56119637024668,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
313,False,"{'a': 0.02, 'e': 0.9755860000000001}",30,0,-145.44100058180223,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
314,False,"{'a': 0.02, 'e': 0.9754295000000001}",20,0,-122.63362968414833,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
315,False,"{'a': 0.02, 'e': 0.9752725000000001}",20,10,-71.0278233477689,"{0: 5, 1: 2, 2: 1, 3: 1, 4: 1}",1
316,False,"{'a': 0.02, 'e': 0.9751150000000001}",20,0,-68.77264932375265,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
317,False,"{'a': 0.02, 'e': 0.9749570000000001}",20,0,-74.80389241500176,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
318,False,"{'a': 0.02, 'e': 0.9747985000000001}",25,0,-144.2595236842099,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
319,False,"{'a': 0.02, 'e': 0.9746395000000001}",25,0,-107.67857291338755,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
320,False,"{'a': 0.02, 'e': 0.9744800000000001}",20,0,-57.856407138670455,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
321,False,"{'a': 0.02, 'e': 0.9743200000000001}",20,0,-110.36410352904689,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
322,False,"{'a': 0.02, 'e': 0.9741595000000001}",20,0,-63.47661739427884,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
323,False,"{'a': 0.02, 'e': 0.9739985000000001}",30,0,-184.5703400788358,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
324,False,"{'a': 0.02, 'e': 0.9738370000000001}",25,0,-265.51063042267276,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 5}",0
325,False,"{'a': 0.02, 'e': 0.9736750000000001}",20,0,-103.4392262013579,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
326,False,"{'a': 0.02, 'e': 0.9735125000000001}",25,0,-138.00279211570563,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
327,False,"{'a': 0.02, 'e': 0.9733495000000001}",20,0,-151.1516668381033,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
